"Reference","Value","Qty","Описание"
"BZ1","Buzzer","1","Buzzer, polarized"
"C1","22p","1","Unpolarized capacitor"
"C2","22p","1","Unpolarized capacitor"
"C3","22p","1","Unpolarized capacitor"
"C4","22p","1","Unpolarized capacitor"
"C5","100nF","1","Unpolarized capacitor"
"C6","100nF","1","Unpolarized capacitor"
"C7","100nF","1","Unpolarized capacitor"
"C8","100nF","1","Unpolarized capacitor"
"C9","100nF","1","Unpolarized capacitor"
"C10","100nF","1","Unpolarized capacitor"
"C11","100nF","1","Unpolarized capacitor"
"C12","100nF","1","Unpolarized capacitor"
"C13","100nF","1","Unpolarized capacitor"
"C14","100nF","1","Unpolarized capacitor"
"C15","100nF","1","Unpolarized capacitor"
"C16","100nF","1","Unpolarized capacitor"
"C17","100nF","1","Unpolarized capacitor"
"C18","100nF","1","Unpolarized capacitor"
"C19","100nF","1","Unpolarized capacitor"
"C20","100nF","1","Unpolarized capacitor"
"C21","100nF","1","Unpolarized capacitor"
"C22","100nF","1","Unpolarized capacitor"
"C23","100nF","1","Unpolarized capacitor"
"C24","100nF","1","Unpolarized capacitor"
"C25","100nF","1","Unpolarized capacitor"
"C26","100nF","1","Unpolarized capacitor"
"C27","100nF","1","Unpolarized capacitor"
"C28","100nF","1","Unpolarized capacitor"
"C29","100nF","1","Unpolarized capacitor"
"C30","100nF","1","Unpolarized capacitor"
"C31","100nF","1","Unpolarized capacitor"
"C32","100nF","1","Unpolarized capacitor"
"C33","100nF","1","Unpolarized capacitor"
"C34","100nF","1","Unpolarized capacitor"
"C35","100nF","1","Unpolarized capacitor"
"C36","100nF","1","Unpolarized capacitor"
"C37","10uF","1","Polarized capacitor"
"C38","10u","1","Polarized capacitor"
"C39","1000uF","1","Polarized capacitor"
"C40","1000uF","1","Polarized capacitor"
"C41","1000uF","1","Polarized capacitor"
"C42","1000uF","1","Polarized capacitor"
"C43","22pF","1","Unpolarized capacitor"
"C44","22pF","1","Unpolarized capacitor"
"C45","100nF","1","Unpolarized capacitor"
"DA2","L78L33_TO92","1","Positive 100mA 30V Linear Regulator, Fixed Output 3.3V, TO-92"
"DD1","80C85","1",""
"DD2","74LS04","1","Hex Inverter"
"DD3","74LS74","1",""
"DD4","74LS02","1","quad 2-input NOR gate"
"DD5","74LS245","1",""
"DD6","74LS573","1",""
"DD7","74LS02","1","quad 2-input NOR gate"
"DD8","74LS27","1","Triple 3-input NOR"
"DD9","74LS20","1","Dual 4-input NAND"
"DD10","74LS05 (1533ЛН2)","1","Inverter Open Collect"
"DD11","74LS05 (1533ЛН2)","1","Inverter Open Collect"
"DD12","74LS05 (1533ЛН2)","1","Inverter Open Collect"
"DD13","74LS74","1",""
"DD14","74LS74","1",""
"DD15","74LS02","1","quad 2-input NOR gate"
"DD16","74LS02","1","quad 2-input NOR gate"
"DD17","74LS00","1","quad 2-input NAND gate"
"DD18","74LS00","1","quad 2-input NAND gate"
"DD19","74LS08","1","Quad And2"
"DD20","7489","1",""
"DD21","74LS244","1","2x 4-bit buffers with 3-state outputs"
"DD23","UM61256","1",""
"DD24","UM61256","1",""
"DD25","28C64","1",""
"DD26","74LS154","1",""
"DD27","8255","1",""
"DD28","8255","1",""
"DD29","8253","1",""
"DD30","8253","1",""
"DD31","8259A","1",""
"DD32","8259A","1",""
"DD33","8251","1",""
"DD34","8251","1",""
"DD35","ATmega8-16AU","1",""
"DD36","74LS85","1",""
"DD37","74LS85","1",""
"DD38","74LS245","1",""
"DD39","74LS245","1",""
"DD40","74LS245","1",""
"DD41","74LS245","1",""
"DD42","MAX7219","1",""
"DD43","W25Q64FV","1",""
"DD44","W25Q64FV","1",""
"DD45","74LS90","1",""
"DD46","CH340G","1","USB serial converter, UART, SOIC-16"
"J1","Keyboard","1","6-pin Mini-DIN connector"
"J2","Mouse","1","6-pin Mini-DIN connector"
"J3","PortAddrSelect","1","Generic connector, double row, 02x04, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)"
"J4","LED_LINE","1","Generic connector, single row, 01x16, script generated"
"J5","DISP","1","Generic connector, single row, 01x21, script generated"
"J6","PORTD","1","Generic connector, single row, 01x08, script generated"
"J7","PORTE","1","Generic connector, single row, 01x08, script generated"
"J8","USART0","1","Generic connector, single row, 01x10, script generated"
"J9","USART0","1","Generic connector, single row, 01x10, script generated"
"J10","PORTF","1","Generic connector, single row, 01x04, script generated"
"J11","SSPI","1","Generic connector, single row, 01x04, script generated"
"J12","USB_B","1","USB Type B connector"
"J13","USB_B","1","USB Type B connector"
"J14","Power","1","Generic connector, single row, 01x02, script generated"
"LED1","Turbo","1","Light emitting diode"
"LED2","Power","1","Light emitting diode"
"R1","300k","1","Resistor"
"R2","1k","1","Resistor"
"R3","1k","1","Resistor"
"R4","1k","1","Resistor"
"R5","1k","1","Resistor"
"R6","2.7k","1","Resistor"
"R7","2.7k","1","Resistor"
"R8","2.7k","1","Resistor"
"R9","2.7k","1","Resistor"
"R10","1k","1","Resistor"
"R11","1k","1","Resistor"
"R12","4.7K","1","Resistor"
"R13","4.7K","1","Resistor"
"R14","4.7K","1","Resistor"
"R15","4.7K","1","Resistor"
"R16","4.7K","1","Resistor"
"R17","4.7K","1","Resistor"
"R18","100","1","Resistor"
"R19","4.7K","1","Resistor"
"RN1","НР1-4-9-4К7","1","9 resistor network, star topology, bussed resistors, small symbol"
"RN2","НР1-4-9-4К7","1","9 resistor network, star topology, bussed resistors, small symbol"
"RV1","10k","1","Potentiometer"
"SW1","Reset","1","Push button switch, push-to-open, generic, two pins"
"U1","Multibus","1",""
"VD1","D","1","Diode"
"VD2","D","1","Diode"
"VD3","D","1","Diode"
"VD4","D","1","Diode"
"Y1","Crystal","1","Two pin crystal"
"Y2","Crystal","1","Two pin crystal"
"Y3","Crystal","1","Two pin crystal"
